fold,valid_cutoff,epoch,train_rmsle_proxy,rmsle,direct_rmsle,hurdle_rmsle,gate_bce,gate_auc,pred_nonzero_rate,true_nonzero_rate,hurdle_weight,user_scale,train_main_mse,train_loss,positive_rmse
1,2025-11-15,1,1.7663,1.735863,1.740305,1.737035,0.4762,0.8504,0.568,0.569,0.0,0.0,3.11981569,,
1,2025-11-15,2,1.7428,1.734262,1.734749,1.73828,0.48,0.8506,0.584,0.569,0.0,0.0,3.0373518399999995,,
1,2025-11-15,3,1.7395,1.734326,1.739667,1.734108,0.4765,0.8509,0.567,0.569,0.0,0.0,3.02586025,,
1,2025-11-15,4,1.737,1.731701,1.736554,1.732903,0.4767,0.8513,0.568,0.569,0.0,0.0,3.0171690000000004,,
1,2025-11-15,5,1.7352,1.732942,1.737914,1.733037,0.4768,0.8516,0.565,0.569,0.0,0.0,3.01091904,,
1,2025-11-15,6,1.7342,1.730748,1.733361,1.732911,0.4781,0.8514,0.573,0.569,0.0,0.0,3.00744964,,
2,2025-12-15,1,1.7648,1.742166,1.742774,1.744906,0.4823,0.8499,0.595,0.563,0.0,0.0,3.11451904,,
2,2025-12-15,2,1.7424,1.743551,1.741618,1.749354,0.4873,0.8503,0.599,0.563,0.0,0.0,3.0359577599999996,,
2,2025-12-15,3,1.7394,1.747664,1.746761,1.754237,0.4902,0.8502,0.608,0.563,0.0,0.0,3.02551236,,
2,2025-12-15,4,1.7371,1.740114,1.739326,1.745977,0.4887,0.8508,0.594,0.563,0.0,0.0,3.0175164100000003,,
2,2025-12-15,5,1.7353,1.744344,1.742053,1.751473,0.4902,0.8506,0.597,0.563,0.0,0.0,3.0112660900000003,,
2,2025-12-15,6,1.7341,1.739228,1.739682,1.743463,0.4864,0.8509,0.591,0.563,0.0,0.0,3.00710281,,
3,2026-01-14,1,1.7635,1.681697,1.681234,1.685204,0.4812,0.8545,0.582,0.541,0.0,0.0,3.1099322500000004,,
3,2026-01-14,2,1.7429,1.675377,1.677722,1.678642,0.4771,0.8548,0.569,0.541,0.0,0.0,3.03770041,,
3,2026-01-14,3,1.7397,1.679395,1.68241,1.682747,0.4768,0.8555,0.576,0.541,0.0,0.0,3.02655609,,
3,2026-01-14,4,1.7374,1.677088,1.678928,1.681695,0.476,0.8556,0.566,0.541,0.0,0.0,3.0185587600000003,,
3,2026-01-14,5,1.7354,1.678784,1.677945,1.684655,0.479,0.8555,0.571,0.541,0.0,0.0,3.01161316,,
3,2026-01-14,6,1.7342,1.675888,1.676559,1.680875,0.4764,0.8556,0.567,0.541,0.0,0.0,3.00744964,,
