feature,mean_gain_share
lstm_pred_log,0.7303809711800531
purchased_items_90d,0.13381831387262605
days_since_last_purchase,0.023202883113193424
whale_score,0.01525482490429082
recency_ratio,0.012770300843056226
active_days_90d,0.012409261711229722
gmv_90d,0.011900341012548258
purchase_frequency,0.009916913071528219
gmv_per_item,0.009349384626729403
purchased_items_30d,0.007314621275770887
active_days_30d,0.007212887574553984
active_day_rate_lifetime,0.004871389848220738
gmv_daily_mean,0.0038151257430891474
search_to_purchase_freq,0.0032476228071789195
days_since_last_activity,0.0023478650001753695
searches_90d,0.0015439818430627733
days_since_last_cart,0.0014663777454785993
customer_age_days,0.0012490238929386728
searches_30d,0.0010534483048209979
days_since_last_search,0.000922793345321557
searches_trend_log,0.0008706616010049197
gmv_30d,0.0007767045270194518
intent_trend_log,0.0007051330621272122
gmv_trend_log,0.0007025295769852584
searches_7d,0.0006995627063034924
active_days_trend_log,0.0006540263361514532
gmv_7d,0.0004833869860960909
purchased_items_trend_log,0.000437697847346224
never_purchased,0.0002963413466706782
purchased_items_7d,0.00024407554061015485
history_length,8.15487538182266e-05
no_recent_engagement,0.0
