cutoff,model,rmsle
2025-08-17,pred_cat,1.9628539023221008
2025-08-17,pred_lstm,1.7436981216351215
2025-08-17,pred_lstm_direct,1.745349253914205
2025-08-17,pred_lstm_hurdle,1.7470052405920637
2025-08-17,pred_two_stage,1.7441618621037673
2025-08-17,pred_rf,1.7467361560689316
2025-08-17,pred_cross_lstm_gate_two_m,1.7478081107736467
2025-08-17,pred_cross_two_gate_lstm_m,1.7447779050842567
2025-09-16,pred_cat,1.748878370475443
2025-09-16,pred_lstm,1.7240087362119776
2025-09-16,pred_lstm_direct,1.7255728035203628
2025-09-16,pred_lstm_hurdle,1.7276733685134458
2025-09-16,pred_two_stage,1.7238533640685036
2025-09-16,pred_rf,1.7291701765715042
2025-09-16,pred_cross_lstm_gate_two_m,1.730087634686335
2025-09-16,pred_cross_two_gate_lstm_m,1.7245116838022683
2025-10-16,pred_cat,1.723187618033887
2025-10-16,pred_lstm,1.71240564407666
2025-10-16,pred_lstm_direct,1.7133454209633958
2025-10-16,pred_lstm_hurdle,1.7169062423163808
2025-10-16,pred_two_stage,1.7129231577478221
2025-10-16,pred_rf,1.7197978801171652
2025-10-16,pred_cross_lstm_gate_two_m,1.720587876032302
2025-10-16,pred_cross_two_gate_lstm_m,1.713463154135439
2025-11-15,pred_cat,1.8078769179558527
2025-11-15,pred_lstm,1.7315632789819575
2025-11-15,pred_lstm_direct,1.7345897800193286
2025-11-15,pred_lstm_hurdle,1.7335101680981189
2025-11-15,pred_two_stage,1.734212406037678
2025-11-15,pred_rf,1.7353844256441406
2025-11-15,pred_cross_lstm_gate_two_m,1.7340889982749537
2025-11-15,pred_cross_two_gate_lstm_m,1.7329490772124938
2025-12-15,pred_cat,1.8242017819686256
2025-12-15,pred_lstm,1.740193407568305
2025-12-15,pred_lstm_direct,1.7401672195923161
2025-12-15,pred_lstm_hurdle,1.744833438007624
2025-12-15,pred_two_stage,1.7449769277944884
2025-12-15,pred_rf,1.744841304457341
2025-12-15,pred_cross_lstm_gate_two_m,1.749733771771701
2025-12-15,pred_cross_two_gate_lstm_m,1.7427053204013274
2026-01-14,pred_cat,1.7308350069950702
2026-01-14,pred_lstm,1.6758878598549645
2026-01-14,pred_lstm_direct,1.6765586656570435
2026-01-14,pred_lstm_hurdle,1.6808738794310918
2026-01-14,pred_two_stage,1.6707564046112426
2026-01-14,pred_rf,1.6949028911457975
2026-01-14,pred_cross_lstm_gate_two_m,1.687263472142029
2026-01-14,pred_cross_two_gate_lstm_m,1.6798507430519052
