kind,params,oct_rmsle,nov_rmsle,dec_rmsle,jan_rmsle,mean_rmsle,std_rmsle,worst_rmsle,worst_gap_vs_best_base,selection_score
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.2, ""recency_factor"": 1.0}",1.7113644109752073,1.7324017846402164,1.7383406048701633,1.672087069154486,1.713548467410018,0.02595147056642217,1.7383406048701633,0.0013306645432433761,1.7228976150169144
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.2, ""recency_factor"": 1.15}",1.7113665160129556,1.7324340906790907,1.7386303004767345,1.6721117973133695,1.7136356761205376,0.026016788980429747,1.7386303004767345,0.001355392702126812,1.7230126308041134
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""recency_factor"": 1.0}",1.711417877776569,1.7323531589008265,1.7383304904338592,1.6727044648741718,1.7137014979963565,0.02569262233167157,1.7383304904338592,0.0019480602629291521,1.7230835278650274
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.05, ""recency_factor"": 1.0}",1.7114253543524767,1.7323671700271621,1.7384228321487423,1.6725982520577276,1.7137034021465272,0.025759509490241413,1.7384228321487423,0.0018418474464849677,1.7230875999574087
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.2, ""recency_factor"": 1.3}",1.7113697972598143,1.7324548384487795,1.7389194284981124,1.6720869768460886,1.7137077602631987,0.02609998486083284,1.7389194284981124,0.0013305722348460058,1.7231088694114594
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.05, ""recency_factor"": 1.0}",1.711491951379907,1.7323329529240987,1.7382801829144037,1.6729287335641443,1.7137584551956384,0.025585788556490994,1.7382801829144037,0.0021723289529016476,1.7231479469809907
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.2, ""recency_factor"": 1.5}",1.7113751232603456,1.7324727817453465,1.7392920138282104,1.6720055694696612,1.7137863720758908,0.02622579481542737,1.7392920138282104,0.0012491648584185278,1.7232152332329742
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.05, ""recency_factor"": 1.15}",1.711428737453681,1.7323775958755943,1.7387089397474338,1.6727114097118614,1.7138066706971427,0.025785060150189085,1.7387089397474338,0.0019550051006187452,1.7232224427698326
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""recency_factor"": 1.15}",1.7114221026724596,1.7323651065507246,1.738612281062001,1.672870889055571,1.713817594835189,0.025696097723332877,1.738612281062001,0.0021144844443283795,1.7232341259272212
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.05, ""recency_factor"": 1.15}",1.7115018929170251,1.7323391190473725,1.738564564940064,1.6731627717338506,1.713892087159578,0.025561760057082387,1.738564564940064,0.0024063671226079997,1.7233199766040785
